Ref Image,Check Image,Image Size,Size Group,CLIP Mismatch %,Max Segment Mismatch %,All Segment Mismatch %,Scale Mismatch %,Status
DIG_SPD_0_KM.png,toCheck_100014_00230s_DIG_SPD_0_KM.png,326772,Big,-0.05,0.81,"[0.0, -0.05, -0.05, 0.0, 0.0, -0.05, 0.81, 0.0, -0.05]",0.0,OK
DIG_SPD_0_MI.png,toCheck_100014_00252s_DIG_SPD_0_MI.png,326772,Big,0.02,0.81,"[0.0, -0.05, -0.05, 0.0, -0.05, -0.05, 0.81, 0.0, -0.05]",0.0,OK
DIG_SPD_0_MI.png,toCheck_100014_00282s_DIG_SPD_0_MI.png,326772,Big,0.02,0.81,"[0.0, -0.05, -0.05, 0.0, -0.05, -0.05, 0.81, 0.0, -0.05]",0.0,OK
FULL_ALTIA_WAKEUP_MMI_LPG.png,toCheck_100000_00878s_FULL_ALTIA_WAKEUP_MMI_LPG.png,1376640,Big,-0.05,1.81,"[0.02, 0.0, -0.05, 0.0, 0.0, -0.05, 0.0, -0.05, 0.0, -0.05, -0.05, 0.0, 0.0, 0.0, 0.0, 0.02, 0.02, 0.0, 0.02, 1.81, -0.05, -0.05, 0.0, 0.02, -0.05, 0.0, 0.0, -0.05, 1.56, 0.0, -0.05, -0.05, -0.05, -0.05, 0.02, -0.05]",0.0,OK
FULL_ALTIA_WAKEUP_20210_4.png,toCheck_100000_00916s_FULL_ALTIA_WAKEUP_20210_4.png,1376640,Big,0.0,7.35,"[0.02, 0.0, -0.05, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 7.35, -0.05, 0.0, 0.0, 0.0, 0.02, 0.0, 0.0, 0.02, 0.02, 0.0, -0.05, -0.05, 0.0, -0.05, 0.0, -0.05, 0.0, -0.05, 0.02, -0.05, -0.05, -0.05, -0.05, -0.05, 0.02, -0.05]",0.0,Investigate
FULL_ALTIA_WAKEUP_MMI_LPG.png,toCheck_100001_00878s_FULL_ALTIA_WAKEUP_MMI_LPG.png,1376640,Big,-0.05,1.81,"[0.02, 0.0, -0.05, 0.0, 0.0, -0.05, 0.0, -0.05, 0.0, -0.05, -0.05, 0.0, 0.0, 0.0, 0.0, 0.02, 0.02, 0.0, 0.02, 1.81, -0.05, -0.05, 0.0, 0.02, -0.05, 0.0, 0.0, -0.05, 1.56, 0.0, -0.05, -0.05, -0.05, -0.05, 0.02, -0.05]",0.0,OK
FULL_ALTIA_WAKEUP_20210_7.png,toCheck_100001_00916s_FULL_ALTIA_WAKEUP_20210_7.png,1376640,Big,0.0,7.35,"[0.02, 0.0, -0.05, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 7.35, -0.05, 0.0, 0.0, 0.0, 0.02, 0.02, -0.05, 0.02, 0.02, 0.0, -0.05, -0.05, 0.0, -0.05, 0.0, -0.05, 0.0, -0.05, 0.02, -0.05, -0.05, -0.05, -0.05, -0.05, 0.02, -0.05]",0.0,Investigate
TXTALT_20210_3_FR.png,toCheck_100002_02401s_TXTALT_20210_3_FR.png,267388,Big,0.56,3.71,"[0.68, 0.59, 0.37, 0.78, 1.37, 3.71]",0.0,Investigate
TXTALT_20210_3_FR.png,toCheck_100002_02461s_TXTALT_20210_3_FR.png,267388,Big,0.56,3.71,"[0.68, 0.59, 0.37, 0.78, 1.37, 3.71]",0.0,Investigate
TCI_LPG_SECGAU50PER_AUTO80KM.png,toCheck_100002_02466s_TCI_LPG_SECGAU50PER_AUTO80KM.png,254449,Big,4.57,14.01,"[6.62, 14.01, 3.98, 0.37, 0.12, 3.2, 0.0, 0.0, 0.0]",0.0,Investigate
TCI_Fuel_GAU80PER_AUTO330KM.png,toCheck_100002_02353s_TCI_Fuel_GAU80PER_AUTO330KM.png,NA,NA,NA,14.01,"[6.62, 14.01, 3.98, 0.37, 0.12, 3.2, 0.0, 0.0, 0.0]",4.36,Faulty
TCI_LPG_SECGAU50PER_AUTO80KM.png,toCheck_100002_02396s_TCI_LPG_SECGAU50PER_AUTO80KM.png,254449,Big,0.02,0.37,"[0.1, 0.0, -0.05, 0.37, 0.1, 0.0, 0.0, 0.0, 0.0]",0.0,OK
TXTALT_20210_3_FR.png,toCheck_100003_01333s_TXTALT_20210_3_FR.png,267388,Big,0.56,3.71,"[0.68, 0.59, 0.37, 0.78, 1.37, 3.71]",0.0,Investigate
TXTALT_20210_3_FR.png,toCheck_100003_01353s_TXTALT_20210_3_FR.png,267388,Big,0.56,3.71,"[0.68, 0.59, 0.37, 0.78, 1.37, 3.71]",0.0,Investigate
TCI_LPG_TripDist_5_KM.png,toCheck_100003_01358s_TCI_LPG_TripDist_5_KM.png,NA,NA,NA,3.71,"[0.68, 0.59, 0.37, 0.78, 1.37, 3.71]",18.33,Faulty
TCI_LPG_TripDist_5_KM.png,toCheck_100003_01398s_TCI_LPG_TripDist_5_KM.png,NA,NA,NA,3.71,"[0.68, 0.59, 0.37, 0.78, 1.37, 3.71]",18.33,Faulty
TCI_LPG_TRIP_0_KM.png,toCheck_100003_00313s_TCI_LPG_TRIP_0_KM.png,NA,NA,NA,3.71,"[0.68, 0.59, 0.37, 0.78, 1.37, 3.71]",18.33,Faulty
TCI_LPG_TripDist_5_KM.png,toCheck_100003_01328s_TCI_LPG_TripDist_5_KM.png,NA,NA,NA,3.71,"[0.68, 0.59, 0.37, 0.78, 1.37, 3.71]",18.33,Faulty
TXTALT_20210_3_FR.png,toCheck_100004_02383s_TXTALT_20210_3_FR.png,267388,Big,0.56,3.71,"[0.68, 0.59, 0.37, 0.78, 1.37, 3.71]",0.0,Investigate
TCI_ICE_TripDist_0_KM.png,toCheck_100004_02408s_TCI_ICE_TripDist_0_KM.png,254449,Big,3.32,8.96,"[7.37, 8.96, 4.17, 1.05, 0.9, 2.69, 4.13, 8.84, 0.0]",0.0,Investigate
TCI_Fuel_GAU80PER_AUTO330KM.png,toCheck_100004_04443s_TCI_Fuel_GAU80PER_AUTO330KM.png,NA,NA,NA,8.96,"[7.37, 8.96, 4.17, 1.05, 0.9, 2.69, 4.13, 8.84, 0.0]",4.36,Faulty
TCI_LPG_SECGAU20PER_AUTO50KM.png,toCheck_100004_04486s_TCI_LPG_SECGAU20PER_AUTO50KM.png,NA,NA,NA,8.96,"[7.37, 8.96, 4.17, 1.05, 0.9, 2.69, 4.13, 8.84, 0.0]",18.33,Faulty
TCI_LPG_SECGAU20PER_AUTO50KM.png,toCheck_100004_04491s_TCI_LPG_SECGAU20PER_AUTO50KM.png,NA,NA,NA,8.96,"[7.37, 8.96, 4.17, 1.05, 0.9, 2.69, 4.13, 8.84, 0.0]",18.33,Faulty
TCI_LPG_TRIP_0_KM.png,toCheck_100004_00313s_TCI_LPG_TRIP_0_KM.png,NA,NA,NA,8.96,"[7.37, 8.96, 4.17, 1.05, 0.9, 2.69, 4.13, 8.84, 0.0]",18.33,Faulty
TCI_LPG_TripDist_5_KM.png,toCheck_100004_01328s_TCI_LPG_TripDist_5_KM.png,NA,NA,NA,8.96,"[7.37, 8.96, 4.17, 1.05, 0.9, 2.69, 4.13, 8.84, 0.0]",18.33,Faulty
TCI_LPG_TripDist_10_KM.png,toCheck_100004_02378s_TCI_LPG_TripDist_10_KM.png,NA,NA,NA,8.96,"[7.37, 8.96, 4.17, 1.05, 0.9, 2.69, 4.13, 8.84, 0.0]",18.33,Faulty
TCI_LPG_TripDist_15_KM.png,toCheck_100005_03433s_TCI_LPG_TripDist_15_KM.png,NA,NA,NA,8.96,"[7.37, 8.96, 4.17, 1.05, 0.9, 2.69, 4.13, 8.84, 0.0]",18.33,Faulty
TCI_LPG_TripDist_15_KM.png,toCheck_100005_03588s_TCI_LPG_TripDist_15_KM.png,NA,NA,NA,8.96,"[7.37, 8.96, 4.17, 1.05, 0.9, 2.69, 4.13, 8.84, 0.0]",18.33,Faulty
TCI_LPG_TRIP_20KM_DISTANCE.png,toCheck_100005_04638s_TCI_LPG_TRIP_20KM_DISTANCE.png,NA,NA,NA,8.96,"[7.37, 8.96, 4.17, 1.05, 0.9, 2.69, 4.13, 8.84, 0.0]",18.33,Faulty
TCI_LPG_TRIP_20KM_DISTANCE.png,toCheck_100005_04793s_TCI_LPG_TRIP_20KM_DISTANCE.png,NA,NA,NA,8.96,"[7.37, 8.96, 4.17, 1.05, 0.9, 2.69, 4.13, 8.84, 0.0]",18.33,Faulty
TCI_LPG_TRIP_0_KM.png,toCheck_100005_00313s_TCI_LPG_TRIP_0_KM.png,NA,NA,NA,8.96,"[7.37, 8.96, 4.17, 1.05, 0.9, 2.69, 4.13, 8.84, 0.0]",18.33,Faulty
TCI_LPG_TripDist_5_KM.png,toCheck_100005_01323s_TCI_LPG_TripDist_5_KM.png,NA,NA,NA,8.96,"[7.37, 8.96, 4.17, 1.05, 0.9, 2.69, 4.13, 8.84, 0.0]",18.33,Faulty
TCI_LPG_TripDist_10_KM.png,toCheck_100005_02378s_TCI_LPG_TripDist_10_KM.png,NA,NA,NA,8.96,"[7.37, 8.96, 4.17, 1.05, 0.9, 2.69, 4.13, 8.84, 0.0]",18.33,Faulty
TCI_LPG_TRIP_0_KM.png,toCheck_100006_02676s_TCI_LPG_TRIP_0_KM.png,NA,NA,NA,8.96,"[7.37, 8.96, 4.17, 1.05, 0.9, 2.69, 4.13, 8.84, 0.0]",18.33,Faulty
TCI_Fuel_SECGAU75PER_AUTO300KM.png,toCheck_100006_02718s_TCI_Fuel_SECGAU75PER_AUTO300KM.png,NA,NA,NA,8.96,"[7.37, 8.96, 4.17, 1.05, 0.9, 2.69, 4.13, 8.84, 0.0]",18.33,Faulty
TCI_LPG_TripDist_5_KM.png,toCheck_100006_03821s_TCI_LPG_TripDist_5_KM.png,NA,NA,NA,8.96,"[7.37, 8.96, 4.17, 1.05, 0.9, 2.69, 4.13, 8.84, 0.0]",18.33,Faulty
TCI_Fuel_SECGAU75PER_AUTO300KM.png,toCheck_100006_03863s_TCI_Fuel_SECGAU75PER_AUTO300KM.png,NA,NA,NA,8.96,"[7.37, 8.96, 4.17, 1.05, 0.9, 2.69, 4.13, 8.84, 0.0]",18.33,Faulty
TXTALT_20210_8_FR.png,toCheck_100007_00801s_TXTALT_20210_8_FR.png,267388,Big,1.17,3.34,"[-0.05, 3.34, 1.56, 0.02, 0.0, 0.0]",0.0,Investigate
TXTALT_20210_8_FR.png,toCheck_100007_00318s_TXTALT_20210_8_FR.png,267388,Big,1.17,3.34,"[-0.05, 3.34, 1.56, 0.02, 0.0, 0.0]",0.0,Investigate
ADAC_LPG_10PER_AUTO_UNAVL.png,toCheck_100008_01327s_ADAC_LPG_10PER_AUTO_UNAVL.png,NA,NA,NA,3.34,"[-0.05, 3.34, 1.56, 0.02, 0.0, 0.0]",18.33,Faulty
TCI_LPG_SECGAU50PER_AUTO80KM.png,toCheck_100008_00371s_TCI_LPG_SECGAU50PER_AUTO80KM.png,254449,Big,0.02,0.37,"[0.1, 0.0, -0.05, 0.37, 0.1, 0.0, 0.0, 0.0, 0.0]",0.0,OK
TCI_LPG_SECGAU50PER_AUTO80KM.png,toCheck_100008_00897s_TCI_LPG_SECGAU50PER_AUTO80KM.png,254449,Big,4.57,14.01,"[6.62, 14.01, 3.98, 0.37, 0.12, 3.2, 0.0, 0.0, 0.0]",0.0,Investigate
TCI_Fuel_SECGAU0PER_AUTO_UNAVL.png,toCheck_100009_01097s_TCI_Fuel_SECGAU0PER_AUTO_UNAVL.png,NA,NA,NA,14.01,"[6.62, 14.01, 3.98, 0.37, 0.12, 3.2, 0.0, 0.0, 0.0]",18.33,Faulty
TCI_Fuel_SECGAU80PER_AUTO690KM.png,toCheck_100009_00546s_TCI_Fuel_SECGAU80PER_AUTO690KM.png,NA,NA,NA,14.01,"[6.62, 14.01, 3.98, 0.37, 0.12, 3.2, 0.0, 0.0, 0.0]",18.33,Faulty
TCI_LPG_SECGAU50PER_AUTO80KM.png,toCheck_100010_04516s_TCI_LPG_SECGAU50PER_AUTO80KM.png,254449,Big,0.02,0.37,"[0.1, 0.0, -0.05, 0.37, 0.1, 0.0, 0.0, 0.0, 0.0]",0.0,OK
TCI_Fuel_GAU80PER_AUTO330KM.png,toCheck_100010_02353s_TCI_Fuel_GAU80PER_AUTO330KM.png,NA,NA,NA,0.37,"[0.1, 0.0, -0.05, 0.37, 0.1, 0.0, 0.0, 0.0, 0.0]",4.36,Faulty
TCI_LPG_SECGAU50PER_AUTO80KM.png,toCheck_100010_02396s_TCI_LPG_SECGAU50PER_AUTO80KM.png,254449,Big,0.02,0.37,"[0.1, 0.0, -0.05, 0.37, 0.1, 0.0, 0.0, 0.0, 0.0]",0.0,OK
TCI_ICE_TripDist_20_KM.png,toCheck_100010_04473s_TCI_ICE_TripDist_20_KM.png,NA,NA,NA,0.37,"[0.1, 0.0, -0.05, 0.37, 0.1, 0.0, 0.0, 0.0, 0.0]",18.33,Faulty
TCI_LPG_TripDist_10_KM.png,toCheck_100011_02463s_TCI_LPG_TripDist_10_KM.png,NA,NA,NA,0.37,"[0.1, 0.0, -0.05, 0.37, 0.1, 0.0, 0.0, 0.0, 0.0]",18.33,Faulty
TCI_LPG_TripDist_5_KM.png,toCheck_100011_01323s_TCI_LPG_TripDist_5_KM.png,NA,NA,NA,0.37,"[0.1, 0.0, -0.05, 0.37, 0.1, 0.0, 0.0, 0.0, 0.0]",18.33,Faulty
TCI_LPG_TripDist_10_KM.png,toCheck_100011_02378s_TCI_LPG_TripDist_10_KM.png,NA,NA,NA,0.37,"[0.1, 0.0, -0.05, 0.37, 0.1, 0.0, 0.0, 0.0, 0.0]",18.33,Faulty
TCI_Fuel_SECGAU80PER_AUTO690KM.png,toCheck_100011_02421s_TCI_Fuel_SECGAU80PER_AUTO690KM.png,NA,NA,NA,0.37,"[0.1, 0.0, -0.05, 0.37, 0.1, 0.0, 0.0, 0.0, 0.0]",18.33,Faulty
TCI_LPG_TripDist_5_KM.png,toCheck_100012_03446s_TCI_LPG_TripDist_5_KM.png,NA,NA,NA,0.37,"[0.1, 0.0, -0.05, 0.37, 0.1, 0.0, 0.0, 0.0, 0.0]",18.33,Faulty
TCI_Fuel_SECGAU75PER_AUTO300KM.png,toCheck_100012_03488s_TCI_Fuel_SECGAU75PER_AUTO300KM.png,NA,NA,NA,0.37,"[0.1, 0.0, -0.05, 0.37, 0.1, 0.0, 0.0, 0.0, 0.0]",18.33,Faulty
TCI_Fuel_GAU80PER_AUTO330KM.png,toCheck_100012_02353s_TCI_Fuel_GAU80PER_AUTO330KM.png,NA,NA,NA,0.37,"[0.1, 0.0, -0.05, 0.37, 0.1, 0.0, 0.0, 0.0, 0.0]",4.36,Faulty
TCI_Fuel_SECGAU75PER_AUTO300KM.png,toCheck_100013_02473s_TCI_Fuel_SECGAU75PER_AUTO300KM.png,NA,NA,NA,0.37,"[0.1, 0.0, -0.05, 0.37, 0.1, 0.0, 0.0, 0.0, 0.0]",18.33,Faulty
TCI_LPG_TripDist_5_KM.png,toCheck_100013_03691s_TCI_LPG_TripDist_5_KM.png,NA,NA,NA,0.37,"[0.1, 0.0, -0.05, 0.37, 0.1, 0.0, 0.0, 0.0, 0.0]",18.33,Faulty
TCI_Fuel_SECGAU75PER_AUTO300KM.png,toCheck_100013_03853s_TCI_Fuel_SECGAU75PER_AUTO300KM.png,NA,NA,NA,0.37,"[0.1, 0.0, -0.05, 0.37, 0.1, 0.0, 0.0, 0.0, 0.0]",18.33,Faulty
TCI_Fuel_GAU80PER_AUTO330KM.png,toCheck_100013_02353s_TCI_Fuel_GAU80PER_AUTO330KM.png,NA,NA,NA,0.37,"[0.1, 0.0, -0.05, 0.37, 0.1, 0.0, 0.0, 0.0, 0.0]",4.36,Faulty
TAC_900_RPM.png,toCheck_100008_00449s_TAC_900_RPM.png,354105,Big,0.0,0.02,"[0.02, 0.0, 0.0, 0.02, 0.02, 0.0, 0.0, 0.0, 0.0]",0.0,OK
TAC_200_RPM.png,toCheck_100014_00266s_TAC_200_RPM.png,354105,Big,0.0,0.22,"[0.02, 0.0, 0.0, 0.0, 0.0, 0.0, 0.22, 0.0, 0.0]",0.0,OK
TAC_2000_RPM.png,toCheck_100014_00270s_TAC_2000_RPM.png,354105,Big,0.0,0.02,"[0.0, 0.0, 0.0, 0.02, -0.05, 0.0, 0.0, 0.0, 0.0]",0.0,OK
